raw	slope	new
7450.813	489.672	6961.142
7519.05	498.74	7020.311
7532.231	507.808	7024.423
7539.38	516.876	7022.504
7564.065	525.944	7038.121
7676.893	535.012	7141.881
7732.773	544.08	7188.693
7801.487	553.148	7248.339
7892.205	562.216	7329.989
8073.392	571.284	7502.107
8187.953	580.352	7607.601
8407.045	589.42	7817.625
8473.787	598.488	7875.299
8582.883	607.556	7975.327
8698.747	616.624	8082.123
8841.024	625.692	8215.332
8960.409	634.76	8325.649
9113.429	643.828	8469.601
9279.701	652.896	8626.805
9522.666	661.964	8860.702
9799.476	671.032	9128.443
10064.95	680.1	9384.854
10276.39	689.168	9587.223
10443.62	698.236	9745.383
10343.94	707.304	9636.639
10300.27	716.372	9583.897
10160.75	725.44	9435.313
10016.59	734.508	9282.08
9835.816	743.576	9092.24
9695.07	752.644	8942.427
9561.734	761.712	8800.022
9410.979	770.78	8640.198
9244.997	779.848	8465.149
9101.927	788.916	8313.011
8957.92	797.984	8159.936
8875.215	807.052	8068.163
8734.159	816.12	7918.039
8608.356	825.188	7783.168
8486.791	834.256	7652.535
8501.935	843.324	7658.61
8333.523	852.392	7481.131
8261.385	861.46	7399.925
8169.859	870.528	7299.331
8159.732	879.596	7280.136
8073.45	888.664	7184.786
7987.165	897.732	7089.433
7921.357	906.8	7014.558
7889.176	915.868	6973.308
7808.659	924.936	6883.723
7781.509	934.004	6847.505
7728.484	943.072	6785.412
7740.185	952.14	6788.045
7677.19	961.208	6715.982
7668.92	970.276	6698.645
7686.484	979.344	6707.14
7703.71	988.412	6715.298
7739.965	997.48	6742.485
7728.459	1006.548	6721.911
7772.375	1015.616	6756.76
7790.716	1024.684	6766.032
7879.076	1033.752	6845.324
7958.356	1042.82	6915.536
8014.547	1051.888	6962.659
8035.511	1060.956	6974.555
8128.109	1070.024	7058.085
8317.422	1079.092	7238.33
8463.874	1088.16	7375.714
8671.553	1097.228	7574.325
8690.475	1106.296	7584.179
8787.874	1115.364	7672.51
8917.514	1124.432	7793.082
9072.747	1133.5	7939.247
9142.978	1142.568	8000.41
9319.018	1151.636	8167.382
9501.969	1160.704	8341.265
9695.795	1169.772	8526.023
9962.668	1178.84	8783.828
10184.86	1187.908	8996.949
10407.04	1196.976	9210.068
10685.36	1206.044	9479.314
10875.33	1215.112	9660.223
11126.14	1224.18	9901.965
11403.25	1233.248	10170.01
11658.66	1242.316	10416.34
11900.22	1251.384	10648.84
11989.81	1260.452	10729.36
12006.84	1269.52	10737.32
11947.54	1278.588	10668.95
11981.27	1287.656	10693.61
11813.41	1296.724	10516.69
11617.62	1305.792	10311.82
11365.55	1314.86	10050.69
11230.41	1323.928	9906.484
11104.55	1332.996	9771.558
10884.75	1342.064	9542.682
10805.99	1351.132	9454.861
10727.24	1360.2	9367.036
10577.03	1369.268	9207.763
10432.5	1378.336	9054.169
10265.32	1387.404	8877.914
10117.8	1396.472	8721.325
9974.116	1405.54	8568.576
9887.715	1414.608	8473.106
9803.602	1423.676	8379.926
9719.624	1432.744	8286.88
9574.645	1441.812	8132.833
9446.907	1450.88	7996.027
9448.346	1459.948	7988.397
9345.253	1469.016	7876.237
9265.654	1478.084	7787.57
9190.016	1487.152	7702.864
9186.383	1496.22	7690.163
9110.082	1505.288	7604.794
9096.618	1514.356	7582.262
9083.156	1523.424	7559.732
9037.286	1532.492	7504.794
8946.023	1541.56	7404.463
